gbifID,accessRights,license,rightsHolder,institutionCode,collectionCode,basisOfRecord,occurrenceID,catalogNumber,occurrenceStatus,datasetKey,taxonRank,publishingCountry,lastInterpreted,issue,hasCoordinate,hasGeospatialIssues,protocol,kingdomKey,lastParsed,lastCrawled,recordedBy,preparations,higherGeography,countryCode,stateProvince,locality,repatriated,county,eventDate,year,month,decimalLatitude,decimalLongitude,day,eventRemarks,typeStatus,infraspecificEpithet
1913497172,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000455,MPEG.ANL 000455,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.953Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.953Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 3,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2017-11-21 00:00:00,2017,11,-1.440.694,-4.841.125,21,NULL,NULL,NULL
1913497171,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000564,MPEG.ANL 000564,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,FAMILY,BR,2023-09-07T09:19:05.942Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.942Z,2023-01-07T11:25:05.817Z,"Cherniski, D.",EtOH - 1,"Pará, Baião",BR,Pará,Bacia Tocantins-Araguaia,FALSE,Baião,2018-01-18 00:00:00,2018,1,-2.775.358,-49.681.561,18,NULL,NULL,NULL
1913497170,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000550,MPEG.ANL 000550,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,FAMILY,BR,2023-09-07T09:19:05.938Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.938Z,2023-01-07T11:25:05.817Z,"Cherniski, D.",EtOH - 1,"Pará, Marabá",BR,Pará,Bacia Tocantins-Araguaia,FALSE,Marabá,2018-01-09 00:00:00,2018,1,-5.255.681,-49.262.533,9,NULL,NULL,NULL
1913497169,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000526,MPEG.ANL 000526,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,CLASS,BR,2023-09-07T09:19:05.937Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.937Z,2023-01-07T11:25:05.817Z,"Cherniski, D.",EtOH - 2,"Pará, Tucuruí",BR,Pará,Bacia Tocantins-Araguaia,FALSE,Tucuruí,2017-08-23 00:00:00,2017,8,-3.553.858,-49.610.331,23,NULL,NULL,NULL
1913497168,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000509,MPEG.ANL 000509,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,CLASS,BR,2023-09-07T09:19:05.940Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.940Z,2023-01-07T11:25:05.817Z,"Cherniski, D.",EtOH - 48,"Pará, Marabá",BR,Pará,Bacia Tocantins-Araguaia,FALSE,Marabá,2017-09-03 00:00:00,2017,9,-5.337.433,-49.206.506,3,NULL,NULL,NULL
1913497167,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000457,MPEG.ANL 000457,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.952Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.952Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 2,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2017-08-29 00:00:00,2017,8,-1.440.694,-4.841.125,29,NULL,NULL,NULL
1913497166,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000518,MPEG.ANL 000518,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,CLASS,BR,2023-09-07T09:19:05.939Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.939Z,2023-01-07T11:25:05.817Z,"Cherniski, D.",EtOH - 1,"Pará, Vera Cruz",BR,Pará,Bacia Tocantins-Araguaia,FALSE,Vera Cruz,2017-09-05 00:00:00,2017,9,-4.896.958,-49.409.244,5,NULL,NULL,NULL
1913497165,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000476,MPEG.ANL 000476,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.954Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.954Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 2,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2018-02-20 00:00:00,2018,2,-1.440.694,-4.841.125,20,NULL,NULL,NULL
1913497164,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000465,MPEG.ANL 000465,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.954Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.954Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 2,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2018-01-24 00:00:00,2018,1,-1.440.694,-4.841.125,24,NULL,NULL,NULL
1913497163,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),MPEG,ANL,PRESERVED_SPECIMEN,MPEG.ANL 000479,MPEG.ANL 000479,PRESENT,9c48ee0b-404a-4c84-9af0-946eef39ddca,ORDER,BR,2023-09-07T09:19:05.954Z,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,TRUE,FALSE,EML,1,2023-09-07T09:19:05.954Z,2023-01-07T11:25:05.817Z,"Beckman, Ruana; Pena, José; Souza, Raíssa",Etanol - 2,"Pará, Belém",BR,Pará,Mocambo,FALSE,Belém,2018-01-23 00:00:00,2018,1,-1.440.694,-4.841.125,23,NULL,NULL,NULL
